Wall time,Step,Value
1671075855.583608,446,99.80000305175781
1671075856.1841173,447,98.69999694824219
1671075856.8413627,448,98.0999984741211
1671075857.4967415,449,98.0999984741211
1671075858.109109,450,97.4000015258789
1671075858.7824068,451,98.19999694824219
1671075859.4217007,452,98.9000015258789
1671075860.031322,453,98.80000305175781
1671075860.689563,454,99.4000015258789
1671075861.337923,455,99.19999694824219
1671075861.9612596,456,98.0
1671075862.6116228,457,98.30000305175781
1671075863.2658784,458,98.5
1671075863.8632839,459,97.9000015258789
1671075864.5564353,460,98.4000015258789
1671075865.2126837,461,98.5999984741211
1671075865.8680665,462,97.69999694824219
1671075866.521322,463,97.69999694824219
1671075867.1396704,464,98.30000305175781
1671075867.7719827,465,98.5
1671075868.4093904,466,98.5999984741211
1671075869.0556645,467,98.19999694824219
1671075869.6900887,468,98.69999694824219
1671075870.3772562,469,99.19999694824219
1671075871.0895097,470,99.0
1671075871.7708037,471,96.9000015258789
1671075872.5061421,472,97.69999694824219
1671075873.1514206,473,98.69999694824219
1671075873.7718759,474,98.9000015258789
1671075874.417152,475,99.5
1671075875.04158,476,99.5
1671075875.6938393,477,99.30000305175781
1671075876.3321362,478,99.30000305175781
1671075876.9524798,479,98.5999984741211
1671075877.5588613,480,98.5999984741211
1671075878.2270775,481,99.19999694824219
1671075878.8643763,482,99.30000305175781
1671075879.5187838,483,99.30000305175781
1671075880.1680503,484,99.30000305175781
1671075880.7923934,485,99.19999694824219
1671075881.4217136,486,99.5
1671075882.0799587,487,99.4000015258789
1671075882.6993036,488,99.0
1671075883.3625333,489,99.30000305175781
1671075884.0078113,490,99.69999694824219
1671075884.6171842,491,99.69999694824219
1671075885.2255616,492,99.9000015258789
1671075885.873961,493,99.9000015258789
1671075886.4763532,494,99.69999694824219
1671075887.1147895,495,98.69999694824219
1671075887.7899873,496,99.5999984741211
1671075888.3933766,497,99.69999694824219
1671075889.0197082,498,99.5
1671075889.6799476,499,99.30000305175781
1671075890.2953048,500,99.0999984741211
1671075890.9365916,501,99.30000305175781
1671075891.5880213,502,99.30000305175781
1671075892.1814382,503,99.5
1671075892.7999036,504,99.5
1671075893.4691174,505,98.80000305175781
1671075894.0825963,506,98.0
1671075894.6964767,507,99.0
1671075895.3896263,508,98.80000305175781
1671075895.9920185,509,97.9000015258789
1671075896.5954082,510,97.5
1671075897.2567637,511,97.4000015258789
1671075897.8800998,512,98.5
1671075898.5234792,513,98.69999694824219
1671075899.216629,514,99.30000305175781
1671075899.8240223,515,99.5999984741211
1671075900.4274137,516,99.5
1671075901.1142213,517,99.0999984741211
1671075901.7505229,518,99.0
1671075902.3630111,519,99.4000015258789
1671075903.1110144,520,99.30000305175781
1671075903.750414,521,99.30000305175781
1671075904.4196274,522,99.5
1671075905.0879824,523,99.5999984741211
1671075905.6973555,524,99.69999694824219
1671075906.3386483,525,99.69999694824219
1671075907.0427668,526,99.80000305175781
1671075907.6542466,527,99.5
1671075908.2795773,528,99.80000305175781
1671075908.9559019,529,99.69999694824219
1671075909.6631207,530,99.4000015258789
1671075910.326489,531,99.30000305175781
1671075911.0136552,532,99.30000305175781
1671075911.6559405,533,99.5999984741211
1671075912.2802746,534,98.9000015258789
1671075912.961456,535,99.19999694824219
